Date,Close,Volume
28/07/2015,17.879999,82166800
27/07/2015,17.67,93231900
24/07/2015,17.9,86364300
23/07/2015,18.18,103650100
22/07/2015,18.450001,110327000
21/07/2015,18.08,63732800
20/07/2015,18.120001,71980100
17/07/2015,18.1,96894900
16/07/2015,17.950001,117054300
15/07/2015,17.68,173099900
14/07/2015,17.129999,69999800
13/07/2015,17.02,67934300
10/07/2015,16.700001,72965300
09/07/2015,16.48,81534400
08/07/2015,16.25,83033000
07/07/2015,16.690001,115450500
06/07/2015,16.940001,58726900
02/07/2015,17.030001,64736500
01/07/2015,17.219999,62317400
30/06/2015,17.02,89039800
29/06/2015,16.889999,98604200
26/06/2015,17.41,63080800
25/06/2015,17.370001,59772200
24/06/2015,17.49,59079500
23/06/2015,17.67,63865700
22/06/2015,17.469999,58477700
19/06/2015,17.17,83395400
18/06/2015,17.379999,97599900
17/06/2015,17.370001,88712100
16/06/2015,17.549999,47291200
15/06/2015,17.469999,68053400
12/06/2015,17.49,53149400
11/06/2015,17.49,77191500
10/06/2015,17.59,102643100
09/06/2015,17.309999,82104900
08/06/2015,17.08,69749600
05/06/2015,17.190001,119087400
04/06/2015,16.780001,61025500
03/06/2015,16.93,89614900
02/06/2015,16.719999,65513200
01/06/2015,16.549999,62941600
29/05/2015,16.5,74266200
28/05/2015,16.67,60970000
27/05/2015,16.74,70026700
26/05/2015,16.5,100048200
22/05/2015,16.75,47032900
21/05/2015,16.73,52056600
20/05/2015,16.74,67684000
19/05/2015,16.77,89115500
18/05/2015,16.51,51059900
15/05/2015,16.35,54937800
14/05/2015,16.52,55395700
13/05/2015,16.469999,47330600
12/05/2015,16.43,59627100
11/05/2015,16.49,56246000
08/05/2015,16.450001,86333700
07/05/2015,16.24,73794800
06/05/2015,16.290001,96426500
05/05/2015,16.35,106148700
04/05/2015,16.440001,76592300
01/05/2015,16.110001,78171400
30/04/2015,15.93,78313900
29/04/2015,15.98,134499400
28/04/2015,15.65,58080100
27/04/2015,15.56,73523400
24/04/2015,15.64,40766100
23/04/2015,15.69,50292200
22/04/2015,15.74,73092800
21/04/2015,15.5,64033100
20/04/2015,15.57,53649400
17/04/2015,15.56,88994300
16/04/2015,15.79,105591000
15/04/2015,15.64,124479100
14/04/2015,15.82,84385400
13/04/2015,15.8,49191200
10/04/2015,15.72,43817700
09/04/2015,15.71,44935600
08/04/2015,15.61,71732500
07/04/2015,15.46,50057800
06/04/2015,15.51,51189500
02/04/2015,15.54,50443500
01/04/2015,15.41,73153900
31/03/2015,15.39,61381700
30/03/2015,15.52,70835300
27/03/2015,15.31,73140800
26/03/2015,15.42,76741500
25/03/2015,15.41,88541500
24/03/2015,15.61,77011000
23/03/2015,15.72,73773500
20/03/2015,15.84,99867700
19/03/2015,15.61,109169200
18/03/2015,15.98,86387600
17/03/2015,16.09,67315000
16/03/2015,16.129999,63406500
13/03/2015,16.09,88581900
12/03/2015,16.09,126376300
11/03/2015,16.110001,85910100
10/03/2015,15.79,85633600
09/03/2015,16.17,72912700
06/03/2015,16.219999,163207200
05/03/2015,16,69510000
04/03/2015,15.84,78441600
03/03/2015,16.040001,65689800
02/03/2015,16.01,71402400
27/02/2015,15.81,130448200
26/02/2015,16.040001,161100700
25/02/2015,16.49,57201000
24/02/2015,16.379999,74109600
23/02/2015,16.200001,87623700
20/02/2015,16.379999,89763600
19/02/2015,16.209999,83604300
18/02/2015,16.299999,84057400
17/02/2015,16.629999,93350600
13/02/2015,16.610001,93632700
12/02/2015,16.67,116394100
11/02/2015,16.360001,99924400
10/02/2015,16.42,100322800
09/02/2015,16.35,95532900
06/02/2015,16.49,154352900
05/02/2015,15.97,92264700
04/02/2015,15.79,83848100
03/02/2015,15.89,105159400
02/02/2015,15.46,101586700
30/01/2015,15.15,99844600
29/01/2015,15.43,76095800
28/01/2015,15.2,105359800
27/01/2015,15.63,86184200
26/01/2015,15.85,69969300
23/01/2015,15.73,103376900
22/01/2015,16.09,183042100
21/01/2015,15.41,101054200
20/01/2015,15.26,123402800
16/01/2015,15.38,149802000
15/01/2015,15.2,193241300
14/01/2015,16.040001,164779800
13/01/2015,16.450001,100845400
12/01/2015,16.68,92762500
09/01/2015,16.98,84144600
08/01/2015,17.290001,73388500
07/01/2015,16.940001,104603800
06/01/2015,16.860001,144912400
05/01/2015,17.379999,105605500
02/01/2015,17.9,48951100
31/12/2014,17.889999,57819600
30/12/2014,18.129999,41433500
29/12/2014,18.110001,58370900
26/12/2014,17.98,34362500
24/12/2014,17.98,35091300
23/12/2014,17.93,94405200
22/12/2014,17.709999,70969300
19/12/2014,17.620001,105588200
18/12/2014,17.530001,79334000
17/12/2014,17.26,92164100
16/12/2014,16.719999,96112000
15/12/2014,16.85,101305300
12/12/2014,17.129999,88886700
11/12/2014,17.469999,80173200
10/12/2014,17.379999,103611100
09/12/2014,17.559999,95939400
08/12/2014,17.66,101035100
05/12/2014,17.68,131824000
04/12/2014,17.209999,49412800
03/12/2014,17.290001,70104200
02/12/2014,17.15,62301200
01/12/2014,16.790001,61173100
28/11/2014,17.040001,27834900
26/11/2014,17.110001,27310300
25/11/2014,17.1,44786300
24/11/2014,17.18,52785700
21/11/2014,17.120001,63000000
20/11/2014,17,49652100
19/11/2014,17.059999,49441600
18/11/2014,17.139999,39490700
17/11/2014,17.09,43393300
14/11/2014,17.139999,41144600
13/11/2014,17.219999,50586300
12/11/2014,17.290001,48669100
11/11/2014,17.32,62236000
10/11/2014,17.370001,54261100
07/11/2014,17.360001,53907800
06/11/2014,17.360001,57339200
05/11/2014,17.34,58608200
04/11/2014,17.209999,53515400
03/11/2014,17.27,64050700
31/10/2014,17.16,82788900
30/10/2014,17.030001,72579100
29/10/2014,16.99,99875700
28/10/2014,16.799999,71580600
27/10/2014,16.59,51500000
